0,1,2,3,4,5,6,7,8,9,10,11,id
38.34,41.28,44.21,48.44,53.9,59.09,64.73,64.8,60.39,52.33,43.76,39.21,3502
36.91,39.39,41.84,46.02,52.21,58.32,65.7,65.42,60.48,51.67,41.97,37.3,3503
32.26,34.63,37.13,41.46,47.5,53.51,60.54,60.38,55.35,46.85,37.55,33.29,3504
27.38,30.36,34.04,39.33,46.34,53.32,61.48,60.28,53.59,44.23,34.16,28.25,3505
30.74,35.34,41,46.9,53.91,60.7,68.11,67.11,59.57,49.53,38.55,32.35,3506
27.9,31.39,36.11,41.91,49.14,56.5,65.05,63.62,55.89,46.15,35.41,28.94,3507
25.65,29.67,34.87,41.33,48.54,55.36,63.78,62.73,55.12,44.97,33.7,27.11,3508
27.03,31.89,38.18,45.05,53.08,61.2,70.33,68.46,59.11,48.08,35.91,28.18,3509
22.79,24.01,33.1,44.91,55.83,64.12,68.75,66.71,59.7,48.86,37.86,27.02,3601
25.49,26.84,35.97,47.38,58.09,66.54,71.22,69.1,62.16,50.86,39.91,29.34,3602
28.82,30.22,39.29,50.08,60.64,69.27,73.99,71.94,65.12,53.65,42.62,32.5,3603
28.64,30.26,39.48,50.21,60.71,69.09,73.55,71.53,64.77,53.35,42.16,32.19,3604
25.72,27.15,36.7,48.14,58.9,67.16,71.56,69.63,62.73,51.31,40.04,29.68,3605
22.28,23.31,32.53,44.42,55.5,63.83,68.45,66.49,59.58,48.41,37.37,26.69,3606
24.12,25.3,34.68,46.17,57.14,65.16,69.27,67.57,60.87,49.77,38.57,28.24,3607
26.7,28.25,37.21,48.25,58.88,66.99,71.15,69.3,62.67,51.41,40.34,30.48,3608
26.9,28.46,37.46,48.37,58.82,67.01,70.92,69.25,63.03,51.65,40.47,30.67,3609
23.18,24.05,33.26,44.84,55.78,64.24,68.39,66.54,60.2,49.1,37.95,27.58,3610
27.36,28.13,36.23,46.08,56.35,64.94,70.64,69.07,62.34,52.09,41.84,31.53,3701
40.12,42.56,49.66,58.09,66.29,73.22,76.12,75.15,69.85,59.32,49.28,41.66,3801
41.56,44.1,51.41,60.01,68.56,75.83,78.79,77.68,72.14,61.05,50.71,42.97,3802
42.25,44.7,52.03,60.72,69.31,76.46,79.41,78.14,72.8,61.76,51.46,43.75,3803
45.04,47.08,54.28,62.24,70.64,77.46,80.28,79.16,74.16,63.68,53.68,46.42,3804
43.82,46.38,53.66,61.94,70.53,77.57,80.32,79.17,73.89,62.88,52.69,45.22,3805
45.34,47.65,54.79,62.85,71.22,77.86,80.53,79.45,74.48,63.92,53.92,46.67,3806
47.68,49.79,56.45,63.92,71.97,78.24,80.78,79.94,75.44,65.59,55.86,48.94,3807
16.17,19.87,29.95,43.6,54.24,64.01,71.57,69.59,58.81,46.21,30.98,20.17,3901
